[																									
]																									
䃖		u	u		4			u		2															
䃗	b		o		1	c&m		o&u	k	7&7															
䄘	p		e	ng	2	l&p&t&z		a&aai&eoi&i&o	&k&ng	1&3&3&4&4&9															
䄙	m		i	ng	2	m		i	ng	4															
䅬			ai		4			ai		3															
䅭	p		a	ng	2	p		o	ng	4															
䅮	c		a	ng	4	c		o	ng	3															
䅯	t		a	ng	2	t		o	ng	4															
䅰			e	n	3	z		aa	n	2															
䅱	h		u	n	4	&t	&u	aa&o	n&ng	3&6															
䅲	q		i		2	k		ei		4															
䅳	ch		u		2	c		o		1															
䅴	s	u	o		3	s		o	k	8															
䅵	zh	u	o		2	z		oe	k	8															
䅶	n		ou		4	n&z		aau&i		4&6															
䆬		i	u	n	3		u	a	n	5															
䆭	x	u	a	n	1	h		a&i	n	1&6															
䆮	j		i	n	4	c&z		aa	m&n	1&2&3															
䈎		i	e		4	z		i	p	9															
䈏	b		ao		2	b		o	k	9															
䈐	g	u	i		4	k	u	i		2															
䈑	g	u	a		3	g	u	aa		2															
䈒	n		a	n	3	n		a	m	5															
䈓	g		e		2	g&h		aa&o	p&t	7&8															
䈔						g		aa		1															
䈕	sh		i		2	s		i		4															
䈖	k		e		1	f&t	&i	o&u		1&3&3															
䈗	s	u	o		3	s		o		2															
䈘	c		i		2	c		i		4															
䈙	zh		ou		4	z		au		6															
䈚	t		ai		2	t		oi		4															
䈛	k	u	ai		4	f		aai		3															
䈜	q		i	n	4	k&s&z		aa&i	m	1&3&4&4															
䈝	x		u		1	s		eo&eoi	&t	1&7															
䈞	d		u		3	c&d		aau&u	&k	4&7															
䈟	c		e		4	z		aa	k	7															
䈠	h	u	a	n	3			u	n	6															
䈡	c		o	ng	1	g		u	ng	1															
䈢	s		ai		3	s		ai&oi		2&2															
䈣	zh		e	ng	4	z		i	ng	3															
䈤	q	i	a	n	2	k		i	m	4															
䈥	j		i	n	1	g		a	n	1															
䈦	z		o	ng	1	z		u	ng	1															
䈧		u	ei		3		u	aai		2															
䈨																									
䈩																									
䊓	sh		i		4	s&z		i		6&6															
䊔		i	i	ng	2	z		i	ng	1															
䊕						g		i	n	1															
䊖	n		a	n	3	f&n		a&aa	m&t	5&7															
䊗	h	u	a	ng	2		u	o	ng	4															
䊘	j	i	u		4	z		aau		6															
䊙		i	a	n	1	h&z		i	n	2&4&6															
䋳	b		ei		3	b	u	i		3															
䋴	n	i	u		4	z		aau		2															
䋵		i	i		4	z		i	&t	3&8															
䋶	x		u		3	s		eoi		1															
䋷	m		ou		2	l&m		aau		4&4															
䋸	x		u	n	2	c		eo	n	4															
䋹	f		u		2	f		u	k	7															
䋺						c		au		1															
䋻	n		i	n	2	n		ei		5															
䋼	t		i	ng	1	t		i	ng	1															
䋽	b		e	ng	3	p		u	ng	2															
䋾	zh		a		3	n&z		a&aa	&p	5&8															
䋿		u	ei		1		u	i		1															
䌀	k		e		1	f		o		1															
䌁		i	ao		1	z	&i	aau&u		1&4&6															
䌂			ou		4			aau		3															
䌃	x	i	ao		1	s	&i	o&u	&k	1&8															
䌄	g		e	ng	3	g		a	ng	2															
䌾	r		e	n	2	z		aa	m	4															
䌿	f		u		2	f		u	k	7															
䍷		u	ei		3		u	ai		5															
䎫	ch	u	a	ng	4	c		oe	ng	1															
䎬	b		a		4	p		aa		4															
䎿	q	i	u		2	c		au		4															
䏀	l		a		4	l		a&i	t	9&9															
䐫	c		o	ng	1	s		u	ng	1															
䐬	c		ao		2	c		ou		4															
䐭	zh		i		4											g	i	ai		3					
䐮	ch		a	n	3	c&s&z		a&i	n	1&2&3															
䐯	l		ei		2	l		eoi		5															
䐰	x	i	u		1	g&s		aau		1&1															
䐱	zh		ai		4	z		a	k	9															
䐲	zh		e		2																				
䐳		i	u		2	z	i	u		4															
䐴	g	u	i		4																				
䑗	d		a	ng	4																				
䑜	t		a		4																				
䑹	s		ou		1	s		au		1															
䑺						f&p		a&o&u	&n	4&4&4															
䑻		i	ou		2	z		aau		4															
䓮	m		ao		4	m		au		6															
䓯	d		u		2	d		u	k	9															
䓰		i	i	n	1	z		aa	n	1															
䓱	ch		ai		2	c		aai		4															
䓲	r	u	i		4	z		eoi		6															
䓳	h		e	n	3	g&h		aa&i	n&ng	2&3															
䓴	r	u	a	n	3	z	&i	i&u	&n	4&5															
䓵	f		u		1																				
䓶	l		ai		4	l		aai		6															
䓷	x		i	ng	4	h		@	ng	6															
䓸	j	i	a	n	1	g&h&z		a&e&i	k&n	1&6&8															
䓹		i	i		4	z		i		3															
䓺	m		ei		3	m		ei		5															
䓻																									
䖙	t		i		1																				
䗋	m		ou		2	m		au		4															
䗌	x		i	ng	1	s		i	ng	1															
䗍	l		i		3	l		ai		5															
䗎		i	a	n	1	z		aa&i	n	1&2															
䗏	s		ou		1																				
䗐	sh		i		1	s		i		1															
䗑		i	i		4																				
䗒	b		i	ng	4	b		ei&i	&ng	3&6															
䗓	c		o	ng	1	c		u	ng	1&2															
䗔	h		ou		2	h		au		4															
