[								
]								
㽐						cim1		
㽓								
㽦				xún		ceon4 seon1		
㽧				zī		zi1		
㽨				cuó		co1		
㾶				gǔ		gwat1		
㾷				xī		sai1		
㾸				gǎo		gou2		
㾹				chái		caai4		
㾺				mà		maa3 maa6		
㾻				zhù		zyu6		
㾼				tuǐ		deoi1 teoi2		
㾽				zhuì		zeoi6		
㾾				xiān		cim1	hem	
㾿				láng		long4		
㿀						baan1 ban1		
㿁								
㿥				hé		huk6 lok6		
㿶				bāng		bong1		
㿷				cuó		cou3		
䁗				kǎi		hoi2		
䁘				yǎo		ziu4		
䁙				yǎn		zin2		
䁚				sǔn		king4 syun2		
䁛				guì		kwaai5	coi	
䁜				huàng		fong2		
䁝				yíng		gwing1 zing4		
䁞				shěng		saang2		
䁟				chá		caa4		
䁠				lián		lim4		
䁡								
䃑				bān		baan1		
䃒				hé		gak3 haat6		
䃓				gòu		gaau3 kaau4 ngaau1		
䃔				hóng		hung4		
䃕				láo		lok6 lou4		
䃖				wù		wu2		
䃗				bō		cuk1 mok1		
䄘				péng		lok6 pang4 ping1 teoi3 zaai3 zi4		
䄙				míng		ming4		
䅬				ài		ai3		
䅭				páng		pong4		
䅮				càng		cong3		
䅯				táng		tong4		
䅰				ěn		zaan2		
䅱				hùn		tong3 waan6		
䅲				qí		kei4		
䅳				chú		co1		
䅴				suǒ		sok3		
䅵				zhuó		zoek3		
䅶				nòu		naau6 zi4		
䆬				yǔn		wan5		
䆭				xuān		han6 hin1		
䆮				jìn		caam1 caan2 zaam3		
䈎				yè		zip6		
䈏				báo		bok6		
䈐				guì		kui2		
䈑				guǎ		gwaa2		
䈒				nǎn		nam5		
䈓				gé		got3 haap1		
䈔						gaa1		
䈕				shí		si4		
䈖				kē		fo1 fo3 tiu3		
䈗				suǒ		so2		
䈘				cí		ci4		
䈙				zhòu		zau6		
䈚				tái		toi4		
䈛				kuài		faai3		
䈜				qìn		kaam4 kim4 saam3 zaam1		
䈝				xū		seoi1 seot1		
䈞				dǔ		caau4 duk1		
䈟				cè		zaak1		
䈠				huǎn		wun6		
䈡				cōng		gung1		
䈢				sǎi		sai2 soi2		
䈣				zhèng		zing3		
䈤				qián		kim4		
䈥				jīn		gan1		
䈦				zōng		zung1		
䈧				wěi		waai2		
䈨								
䈩								
䊓				shì		si6 zi6		
䊔				yíng		zing1		
䊕						gin1		
䊖				nǎn		faat1 nam5		
䊗				huáng		wong4		
䊘				jiù		zaau6		
䊙				yān		hin2 zin4 zin6		
䋳				běi		bui3		
䋴				niù		zaau2		
䋵				yì		zi3 zit3		
䋶				xǔ		seoi1		
䋷				móu		laau4 maau4		
䋸				xún		ceon4		
䋹				fú		fuk1		
䋺						cau1		
䋻				nín		nei5		
䋼				tīng		ting1		
䋽				běng		pung2		
䋾				zhǎ		naa5 zap3		
䋿				wēi		wui1		
䌀				kē		fo1		
䌁				yāo		zaau4 zaau6 ziu1		
䌂				òu		aau3		
䌃				xiāo		siu1 sok3		
䌄				gěng		gang2		
䌾				rén		zaam4		
䌿				fú		fuk1		
䍷				wěi		wai5		
䎫				chuàng		coeng1		
䎬				bà		paa4		
䎿				qiú		cau4		
䏀				là		lat6 lit6		
䐫				cōng		sung1		
䐬				cáo		cou4		
䐭				zhì			giái	
䐮				chǎn		can2 san3 zin1		
䐯				léi		leoi5		
䐰				xiū		gaau1 saau1		
䐱				zhài		zak6		
䐲				zhé				
䐳				yú		zyu4		
䐴				guì				
䑗				dàng				
䑜				tà				
䑹				sōu		sau1		
䑺						fan4 po4 pun4		
䑻				yóu		zaau4		
䓮				mào		mau6		
䓯				dú		duk6		
䓰				yīn		zaan1		
䓱				chái		caai4		
䓲				ruì		zeoi6		
䓳				hěn		ging3 haan2		
䓴				ruǎn		zi4 zyun5		
䓵				fū				
䓶				lài		laai6		
䓷				xìng		hang6		
䓸				jiān		gan1 hek3 zin6		
䓹				yì		zi3		
䓺				měi		mei5		
䓻								
䖙				tī				
䗋				móu		mau4		
䗌				xīng		sing1		
䗍				lǐ		lai5		
䗎				yān		zaan2 zin1		
䗏				sōu				
䗐				shī		si1		
䗑				yì				
䗒				bìng		bei3 bing6		
䗓				cōng		cung1 cung2		
䗔				hóu		hau4		
䗖				dì		daai3 dai6 zit3		
䘔				kā		ho2 kaa1		
䙃				duò				
䙄				qì				
䙅				yāo		ziu1 ziu2		
䙆				kuì				
䙇				ruán				
䙈				hóu		hau4		
䙉				xún		ceon4		
䙊				xiè		ze6		
䙋								
䙌				kuì		gui2 kui2		
䙍								
䚄				lù		luk1		
䚅				lài		loi4 loi6		
䚜				bī		bei1		
䚝				zú		zeot1		
䚞				dǎi				
䚟				dǎi		daai2		
䚠				hùn		wan6		
䛩				wù		kui2 ok3 wu3		
䛪				qióng		kung4		
䛫				zhāng		zoeng1		
䛬				táo		tou4		
䛭				xìng		hang6		
䛮				jiù		gaau3 saat1		
䛯				jù		geoi3		
䛰				hùn		wan6		
䛱				tí				
䛲				mán		man4 man6		
䛳				yàn		zim1 zim3		
䛴				jī				
䛵				shòu		sau6		
䛶				lěi		loi6 lok6		
䛷				wǎn		zyun2		
䛸				chè		zaam1		
䜥						daan3		
䜯				jú		guk1		
䜺				chǎi				
䝊				shà				
䝋				zòng		ceoi4 zung3		
䝌				jué				
䝝				yǐ		zi1		
䝞				hào		hou6		
䝶				liáng				
䝷				zhī		zi3		
䝸				jì				
䝹				wǎn		zyun1 zyun2		
䝺				guàn		gun3		
䝻				jū		ceoi3 geoi1		
䝼				jìng		cing4 tiu4 zing6		
䝽				ài				
䝾				fù		fu2 fu3		
䝿				guì		gwai3		
䞍				qíng		cing4 zing6		
䞎								
䞳				bó		baak6		
䞴				zhāo				
䞵				juě				
䞶				tāng		tik1		
䞷				jué		aang1 faat1 gwaat6		
䞸				fù		fu6		
䟼				wǔ		mou5		
䟾				zhuó				
䟿				lù		luk1		
䠀				tāng		cang1 tong3		
䠁						zai1		
䠂				chú		co2		
䠃				liǎng		loeng5		
䠄				tiǎn				
䠅				kǔn				
䠆				cháng		coeng4		
䠇				jué				
䠈				tú				
䠉				huàn		wun6		
䠊				fèi		faai4		
䠋				bì		bei2 pe5		
䠌								
䠻				qióng		kung4		
䡜				lù		luk6		
䡝				yuān				
䡞				jú				
䡟				pì		bei6 fu6 pei3		
䢃				yì		ngai6		
䢇				rǒng		zung2		
䢦				shuài		seot1	suốt	
䢧				liào		liu6		
䢨				cōng		sung1		
䢩				yù		zyu4 zyu6		
䣝				tú		cyu5 tou4		
䣞				è		ngok6		
䣟				cán				
䣠				jié		taai3		
䣼				liáng		loeng4 loeng4		
䣽				zhī		zi1		
䣾				mì				
䣿				yū				
䤫				chán		caam4		
䤬				shā		so1		
䤭				shì		sik1		
䤮				shè				
䤯				xíng		zing4 zoeng2		
䤰				yíng				
䤱				shì		sai6		
䤲				chì			xích	
䦁						bong1		
䦜				wú		ng4		
䦝				huō				
䦞				rùn		zeon6		
䦟				wěn		ceoi3		
䦷				chuài		ceoi3		
䧤				pú		buk6		
䧥				huì		wai6		
䧦				wéi		wai4		
䧩								
䧼				hú		huk6		
䧽				cuǐ				
䨗				fú		fu1		
䨘				xiàn		sin3		
䨙				cén		zaam4		
䩀				bèi		bei3		
䩟				yí		zi4		
䪟								
䪿				shěng		seon3		
䫀				gěn				
䫁				bì		bei6		
䫂				duǒ		do1		
䬄				xù		syu3 waat6 zyut6		
䬅				lì		lik6		
䬵				gāi		at3 goi1		
䬶				èn		on3		
䬷				shě		se2		
䬸						caan1		
䬹				zhì		zaat6		
䬺				yàng		seoi1 zoeng6		
䬻				jiàn		zaan1 zin3		
䭫				qǐ		kai2		
䭬				qǐ		kai2		
䭿				yì		zaat6		
䮀				bó		but6		
䮁				pián		pin4		
䮂				bá		but6		
䮃						keoi1		
䮄				xuán		zyun1 zyun4		
䮅								
䯊				qià		kaa3 o1		
䯋				bó		bok6		
䯌				kāo		hau1		
䯍				líng		ling4		
䯎				gàn		gon3		
䯵				niè		zit6		
䯶				mán		man4 mun4		
䰛				lì		lik6		
䰠				shén		saan1 saan4		
䰡				chì		ci3		
䰷				bàng		pang5 pau4		
䰸				gōng		gung1		
䰹				zé		caak6		
䰺				jiè		gaai3		
䰻				yú		zyu4		
䰼				qín		cam4		
䰽				bèi		bui3		
䰾				bā		baa1		
䲝						ceoi2 coeng1 seoi6		
䲬				qí		gan1 kei4 zi1		
䲭						ci1		
䲮				yuán		zyun4		
䲯				jí		gaap6 kaap6		
䲰				yùn		wan6		
䲱				fǎng		fong2 fong4		
䲲				gōng		gung1		
䲳				háng		hong4		
䲴				zhèn		zam6		
䲵				què		zoek3		
䲶								
䲷								
䲸				jiè		gaai3		
䴓				shī		si1		
䴚				gǎng		gong1		
䴠				yǎo		ou2 ziu1		
䴡				lì		lai6		
䴢				mí		mei4		
䴯				hū		fat1		
䴰				shú		suk6		
䵇				xiàn		sam1		
䵑				nì		nik1		
䵟				gǎn		gon2		
僲				xian				
僵	KYOU	강	KANG	jiāng	jiang1(34)	goeng1		giɑng
僶	BIN MIN		MIN	mǐn		man5		mǐn
僸	KIN KON		KUM	jìn		gam3		
價	KA KE	가	KA	jià	jia4(430)	gaa3	giá	gà
僺	SHOU			qiào				
僻	HEKI HI HEI	벽	PYEK PHI	pì		pik1		pek piɛk
僼	HOU			fēng				
僽	SHUU		CHWU	zhòu		zau3		
僾	AI	애	AY	ài		oi2 oi3		
僿	SHI SAI	사	SA	sài		si1 zi6		
儀	GI	의	UY	yí	yi2(120)	ji4	nghi	ngyɛ
儁	SHUN	준	CWUN	jùn				
儂	DOU NOU	농	NONG	nóng		nung4	nùng	nong
儃	SEN ZEN TAN DAN	천	CHEN	chán		cin4 sin4 taan2		
億	OKU YOKU	억	EK	yì	yi4(195)	jik1	ức	
儅	TOU			dàng				
儆	KEI SHOU	경	KYENG	jǐng		ging2		
儇	KEN	현	HYEN	xuān		hyun1		
儈	KAI KE		KOY	kuài		kui2	cúi	
儉	KEN	검	KEM	jiǎn	jian3(9)	gim6	kiệm	ghyɛ̌m
儊	SHO			chù		co3		
儋	TAN SEN ZEN	담	TAM	dān		daam1		
儌	KEU		KYO	jiǎo		giu1 giu2 hiu1		
儍	SA			shǎ		so4		
儎	SAI			zài				
儏				can				
凙	TAKU DAKU JAKU			duó				
凚			KUM	jìn				
凛	RIN	름	LUM	lǐn		lam5		
凜	RIN	늠 름	LUM	lǐn		lam5	lẫm	*lǐm lǐm
劅	TAKU			zhuò				
劆	REN			lián				
劇	GEKI KEKI GYAKU	극	KUK	jù	ju4(123)	kek6	kịch	*ghiæk
劈	HEKI HYAKU	벽	PYEK	pī	pi1(17)	pek3 pek6 pik1		pek
劉	RU RYUU	류 유	LYU	liú		lau4		*liou
劊	KAI KE KATSU		HOY KOY	guì		gui3 kui2		
劋	SYOU SOU		CO	jiǎo				
劌	KEI KE		KWI	guì		gwai3		
劍	KEN	검	KEM	jiàn	jian4(79)	gim3	kiếm	*gi(u)æ̀m
劎	KEN		KEM	jiàn				
劏				tāng		tong1		
勮			KE	jù				
勯	TAN		TAN	dān		daan1		
勰	KYOU GYOU		HYEP	xié		hip6		
勱	BAI ME		MAY	mài		maai6		
勲	KUN		HWUN	xūn				
匔				qiōng				
匳	REN		LYEM	lián				
厱			EM	lán				
厲	REI RAI RETSU RECHI	려	LYE	lì	li4(146)	lai6	lẹ	*liɛ̀i
叇	TAI			dài				
嘟	TO ZU		TO	dū		dou1		
嘠	KATSU		AL KAL	gā				
嘨	SHOU SHITSU SHUU		SO	xiào				
嘩	KA KE	화	HWA	huā	hua1(54)	jip6 waa1 waa4		
嘪	BAI ME			mǎi				
嘫	DAM NAN ZEN NEN		YEN	rán			nhoẻn	
嘬	SAI SE SEI	최	CHOY	chuài		caai3 zyut3	chối	
嘭	HOU BYOU			pēng		baang4 paang1		
嘮	TOU CHOU TA KOU KYOU ROU		CHO	láo		lou4	lao	
嘯	SHOU SHITSU	소	SO	xiào	xiao4(21)	siu3		*sèu
嘰	KI KE GI		KI	jī		gei1		
嘱	SHOKU		CHOK	zhǔ	zhu3(35)	zuk1		
嘲	TOU CHOU	조	CO	cháo	chao2(28)	zaau1	trào	djau
嘳	KI KE		KOY	kuì		kwaai3		
嘴	SHI	취	CHWI	zuǐ	zui3(610)	zeoi2		tziuɛ̌
嘵	KEU GEU		HYO	xiāo		hiu1	nghêu	
嘶	SEI	시	SI	sī	si1(14)	sai1 si1	tê	*sei
嘷	KOU GOU	호	HO	háo				
嘸	BU	무	MWU	fǔ		fu2 m4 mou1 mou5		
嘹	REU RYOU	료	LYO	liáo		liu4	rêu	
嘺	KYOU GYOU		KYO	qiáo		kiu2 kiu4	ghẹo	
嘻	KI I	희	HUY	xī	xi1(42)	hei1	hi	
嘼	KYUU KU CHUU		HYU	chù				
嘽	TAN SEN TA DAN		THAN CHEN	chǎn		cin2 taan1 zin2		
嘾	TAN DON		TAM	dàn				
嘿	BOKU MOKU KOKU	묵	MWUK	hēi	hei1(76)	hei1		
噀	SON		SON	xùn		seon3	sún	
噁	O U AKU	오	O	ě		ngok3 ok3	ạc	
噂	SON	준	CWUN	zǔn		zyun2	ton	
噃	HAN BON		PEN	fān		bo3		
噄	KITSU			chī				
噆	SOU SAN		CHAM	zǎn		caam2 cam2 zam2		
噇	TOU		TAM	chuáng				
噈	SHUKU SOU KOU GOU		CHWUK	cù				
噉	TAN DAN	담	TAM	dàn		daam6 gam2		dhɑ̌m
噊	ITSU ICHI SHUTSU JUCHI		YUL SWUL	yù		wat6		
噋	TON KUWAKU	톤	THON	tūn			xôn	
噌	SOU SO		CAYNG CUNG	cēng		cang1 zang1		
噍	SEU ZEU SHIU SHIYU SHAKU ZAKU	초	CHO	jiào		ziu6		
噎	ITSU ETSU	열	YEL	yē		jit3	ế	
噏	KYUU	흡	HUP	xī		ap1 ngap1	hấp	
噐	KI		KI	qì				
噒				lián		leon1	rên	
噔	TOU			dēng		dang1	đằng	
噕	KI		WI	huī				
噖				yín				
噗	BOKU			pū		pok3		
噘	KETSU			juē		kyut3		
噙	KIN			qín		kam4	gầm	
噚				xún		cam4		
噛	GOU			niè				
噜				lū		lou1		
噝				sī				
噴	FUN	분	PWUN	pēn	pen1(111)	fan5 pan1 pan3	phún	pən
圚	KAI E GAI			huì				
墜	TSUI	추	CHWU	zhuì	zhui4(13)	zeoi6	truỵ	*djhuì
墝	KOU KYOU	요	YO	qiāo		haau1		
增	ZOU SOU	증	CUNG	zēng	zeng1(601)	zang1	tăng	*tzəng
墟	KYO	허	HE	xū		heoi1		kiu
墠	SEN ZEN TAN			shàn		sin6		
墡	SEN ZEN	선	SEN	shàn		sin6		
墢	HATSU HAI			bá				
墣	HAKU HOKU	복	POK	pú		pok3		
墤				kuài		teoi4		
墥	TOU TSU TAN			dǒng				
墦	HAN HON			fán		faan4		
墧				què				
墨	BOKU MOKU	묵	MWUK	mò	mo4(50)	mak6		mək
墩	TON	돈	TON	dūn	dun1(36)	dan1 dan2 deon1	đôn	
墪				dūn		dan1		
墫	SHUN	준	CWUN	zūn		cun1 cyun4 deon1	chôn	
墬	CHI			dì		dei6 zeoi6		
墭	SEI			shèng				
墮	DA	타	THA	duò		do6 fai1	đoạ	dhuɑ̌
墯	DA			duò		do6 fai1		
墰		담	TAM	tán		taam4		
墱	TOU	등	TUNG	dèng		dang3		
墲	BO MO BU MU			mú				
墳	FUN	분	PWUN	fén	fen2(46)	fan4	phần	*bhiən
墴				huáng				
墵				tán				
墶				da				
墷				yè				
墸	SHO			zhu				
墹				jian				
壿	SHUN SON			zūn		cun1		
夀				shòu		sau6		
夦				chěn				
奭	SEKI SHAKU KAKU KYAKU	석	SEK HAK	shì		sik1		
嫳	HETSU HECHI			piè		pit3		
嫴	KO KU			gū				
嫵	BU MU			wǔ		mou4 mou5		
嫶	SEU ZEU	초	CHO	qiáo		ciu4 ziu1		
嫷	TA			tuǒ		to5		
嫸	SEN			zhǎn				
嫹	BAU MEU			máo				
嫺	KAN	한	HAN	xián		haan4		
嫻	KAN	한	HAN	xián		haan4		
嫼				mò				
嫽	REU RAU	료	LYO	liáo		liu4		
嫾				lián				
嫿	KAKU GYAKU			huà		waak6		
嬀	KI GI	규	KYU	guī				
嬁	TOU			dēng				
嬂	SHOKU SHIKI			zhí				
嬃	SHU			xū		seoi1		
嬄				yī				
嬅	KUWA GE	화	HWA	huà				
嬆				xī				
嬇	KUWAI E KE			kuì				
嬈	DEU NEU ZEU DAU EU KEU	요	YO	ráo		jiu4		
嬉	KI	희	HUY	xī		hei1		
嬊				yàn				
嬋	SEN ZEN	선	SEN	chán		sim4		zhiɛn
嬌	KYOU	교	KYO	jiāo	jiao1(12)	giu1	kiều	*gyɛu
嬍	BI			měi				
嬎	HAN			fàn				
嬏	HAN			fān				
審	SHIN	심	SIM	shěn	shen3(58)	sam2	thẩm	
寫	SHA	사	SA	xiě	xie3(1171)	se2	tả	*siǎ
寬	KAN	관	KWAN	kuān	kuan1(185)	fun1	khoan	kuɑn
寭		혜	HYEY	huì				
寮	RYOU	료 요	LYO	liáo		liu4		leu
導	DOU	도	TO	dǎo	dao3(1403)	dou6	đạo	dhɑ̀u
尵	TAI DE			tuí				
層	SOU	층	CHUNG	céng	ceng2(488)	cang4	tầng	*dzhəng
履	RI	리 이	LI	lǚ		lei5 leoi5		*lǐ
屦				jù		geoi3		
屧	TEI TAI SEHU			xiè		sit3		
嶏				pèi				
嶐	RYUU			lóng				
嶑				xiàng				
嶒	SHOU ZOU SOU JOU	증	CUNG	céng		cang4		
嶓	HA			bō		bo1		
嶔	KIN KON KEN KAN	금	KUM	qīn		jam1		kyim
嶕	SEU ZEU SHOU JOU	초	CHO	jiāo		ciu4 ziu1		
嶖				yǎn				
嶗				láo		dang3 lou4	lao	
嶘				zhàn				
嶙	RIN	린	LIN	lín		leon4		
嶚	RYOU			liáo		liu4		
嶛	RYOU			liáo				
嶜	SHIN SEN ZEN JIN			jīn		zam1		
嶝	TOU	등	TUNG	dèng		dang3		
嶞	TA DA			duò		do6		
嶟	SON SHUN			zūn				
嶠	KYOU GYOU	교	KYO	jiào		giu6 kiu4		
嶡	KEI KE KETSU KACHI			guì		gwai3 kyut3		
嶢	GYOU	요	YO	yáo		jiu4	nghèo	ngeu
嶣				jiāo				
嶤				yáo				
嶥				jué				
巤	REHU			liè		lip6		
幚	HOU		PANG	bāng				
幜	KEI KYOU			jǐng		ging2		
幝	SEN TAN			chǎn		cin2		
幞	HOKU BOKU	복	POK	fú		buk6		
幟	SHI	치	CHI	zhì	zhi4(51)	ci3	xí	
幠	KO KU BU MU			hū		fu1		
幡	HAN HON	번	PEN	fān		faan1	phan	piæn
幢	TOU DOU	당	TANG	chuáng		cong4 tong4 zong6	choàng	
幣	HEI	폐	PHYEY	bì	bi4(58)	bai6	giẻ	
幤	HEI			bi				
幥				zhang				
廙	YOKU YOKI I			yì		ji6		
廚	ZU CHUU	주	CWU	chú	chu2(48)	ceoi4 cyu4	chù	djhio
廛	TEN	전	CEN	chán		cin4	chờn	
廜	TO TSU			tú		tou4		
廝	SHI	시	SI	sī		si1		siɛ
廞	KIN KON GIN GON KAN KEN	흠	HUM	xīn		jam1		
廟	BYOU	묘	MYO	miào	miao4(55)	miu6	miếu	*myɛ̀u
廠	SHOU	창	CHANG	chǎng	chang3(731)	cong2	xưởng	
廡	BU	무	MWU	wǔ		mou4 mou5	vu	
廢	HAI	폐	PHYEY	fèi	fei4(111)	fai3	phế	*biæ̀i
廣	KOU	광	KWANG	guǎng	guang3(628)	gwong2	quảng	*guɑ̌ng
廤			KOC	kù				
弊	HEI HETSU	폐	PHYEY	bì		bai6	tệ	bhiɛ̀i
彆		별	PYEL	biè		bit3		
彇	YOU			xiāo				
彈	DAN	탄	THAN	dàn	dan4(313) tan2(50) tan5(13)	daan6 taan4	đàn	*dhɑn dhɑ̀n
彉	KUWAKU			guō		kwok3		
影	EI YOU	영	YENG	yǐng	ying3(854)	jeng2 jing2	ảnh	*qiæ̌ng
徲				tí				
徵	CHOU CHI	징	CING CHI	zhēng		zi2 zing1	trưng	*djiəng
徶				bié		pit3		
德	TOKU	덕	TEK	dé	de2(97)	dak1	đức	dək
徸	SHOU SHU			chōng				
徹	TETSU	철	CHEL	chè	che4(257)	cit3	triệt	djhiɛt tjiɛt
徺				jiǎo				
慕	BO	모	MO	mù	mu4(24)	mou6	mộ	mò
慗				chì				
慙	ZAN	참	CHAM	cán		caam4		
慜				mǐn				myǐn
慝	TOKU	특	THUK	tè		nik1 tik1		
慤		각	KAK	què		kok3	xác	
慦				jiù				
慧	KEI E	혜	HYEY	huì	hui4(40)	wai3 wai6		huèi
慫	SHOU	종	CONG	sǒng		sung2	túng	
慮	RYO ROKU	려	LYE	lǜ	l&#xfc;4(125)	leoi6	lự	liù
慰	I	위	WI	wèi	wei4(70)	wai3	uý	qiuə̀i
慸	TEI DAI SEI TAI			dì				
慹				zhí		zap1 zip3		
慼	SEKI SHAKU SHUKU		CHEK	qī		cik1	thích	
慾	YOKU	욕	YOK	yù		juk6	dục	
憁	SOU	총	CHONG	còng				
憂	YUU	우	WU	yōu	you1(23)	jau1	ưu	*qiou
憃	TOU SHOU SHU CHOU CHU	용	YONG	chōng		cung1 zung1		
憄	CHI			zhì				
憅				tòng				
憇	KEI			qì		hei3		
憉				péng		paang4		
憍	KYOU	교	KYO	jiāo		giu1		
憎	ZOU	증	CUNG	zēng		zang1		tzəng
憏				chì				
憐	REN	련 연	LYEN	lián	lian2(111)	lin4		*len
憒	KAI GAI	궤	KWEY	kuì		kui2		
憓	KEI E			huì		wai6		
憔	SHOU	초	CHO	qiáo		ciu4	tiều	dzhiɛu
憕				chéng				
憘	KI	희	HUY	xǐ				
憚	TAN TA DAN	탄	THAN	dàn		daan6	dạn	
憛				tán		taam4		
憜	TA DA			duǒ				
憞				duì				
憟	SHOKU SOKU			sù				
憡				cè				
憢				xiāo				
憣				fān				
憤	FUN	분	PWUN	fèn	fen4(159)	fan5	phẫn	bhiə̌n
憦				lào				
憧	DOU SHOU TOU	동	TONG	chōng	chong1(10)	cung1 tung4		
憪	KAN GEN			xián		haan4 haan6		
憫	BIN MIN	민	MIN	mǐn		man5	mẫn	
憬	KEI	경	KYENG	jǐng	jing3(10)	ging2 gwing2		
憭	RYOU			liǎo		liu5	trêu	
憮	BU KO	무	MWU	wǔ		mou5		
憯		참	CHAM	cǎn		caam2		
憰				jué		kyut3		
憱				cù		cuk1		
憲	KEN	헌	HEN	xiàn	xian4(56)	hin3	hiến	*xiæ̀n
憳				tǎn				
