[								
]								
塽	SAU SHOU	상	SANG	shuǎng		song2		
塾	JUKU	숙	SWUK	shú		suk6	thục	
塿	ROU RU			lǒu		lau5		
墀	CHI JI	지	CI	chí		ci4		*djhi
墁	BAN MAN	만	MAN	màn		maan6		
墂	HYOU HEU			biāo				
境	KYOU KEI	경	KYENG	jìng	jing4(280)	ging2	cảnh	
墄	SOKU			cè				
墅	SHO YA	서	SE	shù		seoi5	thự	
墆	TETSU DECHI TEI TAI DAI			zhì		dai3 dit6	đai	
墇	SHOU			zhāng		ging2		*giæ̌ng
墈	KAN KON			kàn		ham3		
墉	YOU YU	용	YONG	yōng		jung4		iong
墊	TEN TEU DEU	점	CEM	diàn	dian4(24)	dim3 din3 din6 zin3		
墋	SHIN			chěn		cam2		
墌	SHAKU SEKI			zhí				
墍	KI GI KE KAI GAI	기	KI	xì				
墎	KUWAKU			guō		gwok3		
墏	SHOU SAU			qiǎng				
墐	KIN GON	근	KUN	jìn		gan2 gan6		
墑	TEKI CHAKU			dì		soeng1		
墒	SHOU			shāng				
墓	BO	묘	MYO	mù	mu4(23)	mou6	mộ	mò
墔	SAI ZE			cuī		ceoi4		
墕				yàn				
墖	TOU			tǎ				
増	ZOU SOU		CUNG	zēng				
墘				qián		king4		
墙				qiáng	qiang2(264)	coeng4		
墚				liáng				
墛				wei				
壽	JU SU SHUU JUU	수	SWU	shòu	shou4(20)	sau6	thọ	zhiòu zhiǒu
壾	BOU MOU			mǎng				
夐	KEI KEN	형	HYENG	xiòng		hing3		
夢	MU	몽	MONG	mèng	meng4(129)	mung6		*mùng
夣	BOU MU			mèng				
夤	IN I	인	IN	yín		jan4		in
夥	KA WA	과	KWA HAY	huǒ		fo2		
奩	REN	렴	LYEM	lián		lim4		
奪	DATSU	탈	THAL	duó	duo2(197)	dyut6	đoạt	*dhuɑt dhuɑt
奫	IN	윤	YUN	yūn		wan1		
奬	SHOU SOU	장	CANG	jiǎng		zoeng2	tưởng	
嫕	EI			yì		ai3 ji3		
嫖	HYOU	표	PHYO	piáo		piu4	phếu	piɛu
嫗	OU U	구	KWU	yù		jyu2	ẩu	qiò
嫘	RUI RAI RE			léi		leoi4		
嫙	SEN ZEN	선	SEN	xuán				
嫚	BAN MAN BEN MEN EN	만	MAN	mān		maan6		
嫛	EI I	예	YEY	yī		ji1		
嫜	SHAU			zhāng		zoeng1		jiɑng
嫝	KAU			kāng				
嫞	SHOU JU CHOU CHU			yōng				
嫟	JIYUKU NIKI			nì		nik1		
嫠	RI	리	LI	lí		lei4		
嫡	CHAKU TEKI	적	CEK	dí		dik1	đích	
嫢	KI I GI SHI KEN GEN	규	KYU	guī		kwai1		
嫣	EN	언	EN	yān		jin1		
嫤				jǐn				
嫥	SEN TAN DAN	전	CEN	zhuān		zyun1		
嫦	KOU GOU	항	HANG	cháng		soeng4	thường	*həng
嫧				zé				
嫨	KAN ZEN NEN			hān				
嫩	DON NON ZEN	눈	NWUN	nèn	nen4(26)	nyun6	non	nuə̀n
嫪	RAU ROU			lào		lou6		lɑ̀u
嫫	BO MO	모	MO	mó		mou4		mo
嫬	SHA SHO			zhē				
嫭	KO GO	호	HO	hù		wu6		
